0.25,2,15
34.5,-139.332,-4.58493,139.332,4.58493
34.75,-141.825,-4.39653,141.825,4.39653
35,-144.318,-4.20814,144.318,4.20813
35.25,-146.811,-4.01974,146.811,4.01973
35.5,-149.304,-3.83134,149.304,3.83133
35.75,-151.797,-3.64294,151.797,3.64293
36,-154.29,-3.45454,154.29,3.45453
36.25,-156.783,-3.26614,156.783,3.26614
36.5,-159.276,-3.07774,159.276,3.07774
36.75,-161.768,-2.88934,161.768,2.88934
37,-164.261,-2.70094,164.261,2.70094
37.25,-166.754,-2.51254,166.754,2.51254
37.5,-169.247,-2.32414,169.247,2.32414
37.75,-171.74,-2.13574,171.74,2.13574
38,-174.233,-1.94734,174.233,1.94734
38.25,-176.726,-1.75894,176.726,1.75894
38.5,-179.219,-1.57054,179.219,1.57054
38.75,-181.712,-1.38214,181.712,1.38214
39,-184.204,-1.19374,184.204,1.19374
