0.1,1,0.5
0.1,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-7.02685,1.62744,0,0,0,0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0.2,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-7.0024,1.62111,0.0244503,-0.00633001,0.0126282,0.0252564,0.0124446,-0.00214573,0.0126222,-0.000388739,0.0105504,0.00693975,-nan,-nan,-nan,-nan,-nan,-nan
0.3,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.9764,1.59415,0.026,-0.02696,0.0313555,0.0374546,0.0310561,-0.00432278,0.0313464,-0.000755494,0.0259864,0.0175463,-nan,-nan,-nan,-nan,-nan,-nan
0.4,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.9449,1.55981,0.0314999,-0.0343399,0.0420268,0.046599,0.0418472,-0.00388104,0.0420218,-0.000648617,0.0344701,0.0240429,-nan,-nan,-nan,-nan,-nan,-nan
0.5,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.93749,1.56447,0.00741005,0.00466001,0.0276763,0.046599,0.0275358,-0.00278473,0.0276724,-0.000461292,0.0226978,0.0158363,-nan,-nan,-nan,-nan,-nan,-nan
0.6,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.8401,1.59951,0.0973902,0.0350399,0.0561277,0.103502,0.0551987,-0.01017,0.0561082,-0.00148095,0.0457338,0.0325383,-nan,-nan,-nan,-nan,-nan,-nan
0.7,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.76675,1.59783,0.07335,-0.0016799,0.0884355,0.103502,0.0865547,-0.0181417,0.0884046,-0.00233952,0.0712676,0.0523619,-nan,-nan,-nan,-nan,-nan,-nan
0.8,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.67738,1.58742,0.0893698,-0.0104101,0.0816716,0.103502,0.0795647,-0.0184312,0.0816476,-0.00197862,0.064746,0.0497816,-nan,-nan,-nan,-nan,-nan,-nan
0.9,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.55216,1.61237,0.12522,0.02495,0.108828,0.127682,0.0994044,-0.0442976,0.108771,-0.00351007,0.084864,0.0681294,-nan,-nan,-nan,-nan,-nan,-nan
1,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.50097,1.60343,0.0511899,-0.00893998,0.0898232,0.127682,0.0798667,-0.0411038,0.0897824,-0.00270658,0.0692123,0.0572527,-nan,-nan,-nan,-nan,-nan,-nan
1.1,2,1,1,3,-6.3,1.5,-3.07,1.5,-4.45,3.3,-6.45886,1.58416,0.04211,-0.0192701,0.0491372,0.127682,0.0434203,-0.023003,0.049122,-0.00121991,0.0373632,0.0319132,-nan,-nan,-nan,-nan,-nan,-nan
