0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1,-7.07302,1.59584,0,0,0.342982,0.357393,0.299625,-7.07302,1.59584,0,0
3.2,-7.07656,1.59579,0.0761359,0.0472295,0.340026,0.356441,0.303534,-7.07656,1.59579,0.0761359,0.0472295
3.3,-7.05731,1.58719,0.152983,-0.000677165,0.338567,0.362129,0.299304,-7.05731,1.58719,0.152983,-0.000677165
3.4,-7.05591,1.58255,0.294463,0.0215022,0.346702,0.383047,0.270251,-7.05591,1.58255,0.294463,0.0215022
3.5,-7.04341,1.58008,0.227124,-0.0228482,0.354792,0.37957,0.265639,-7.04341,1.58008,0.227124,-0.0228482
3.6,-7.03162,1.57764,0.170047,-0.00551419,0.350816,0.37993,0.269254,-7.03162,1.57764,0.170047,-0.00551419
3.7,-7.0223,1.57527,0.415493,-0.00669554,0.348433,0.382075,0.269492,-7.0223,1.57527,0.415493,-0.00669554
3.8,-7.01748,1.57222,0.167467,-0.00303052,0.346476,0.381644,0.27188,-7.01748,1.57222,0.167467,-0.00303052
3.9,-7.01099,1.56512,0.333268,-0.00353261,0.350207,0.391337,0.258456,-7.01099,1.56512,0.333268,-0.00353261
4,-7.01054,1.57125,0.170591,0.0288084,0.348229,0.387156,0.264615,-7.01054,1.57125,0.170591,0.0288084
4.1,-7.00131,1.57033,0.265311,-0.071035,0.35272,0.382946,0.264334,-7.00131,1.57033,0.265311,-0.071035
4.2,-7.01827,1.57711,0.0837904,0.0060407,0.352092,0.382242,0.265666,-7.01827,1.57711,0.0837904,0.0060407
4.3,-7.01714,1.57134,0.176201,-0.0276737,0.354208,0.377686,0.268105,-7.01714,1.57134,0.176201,-0.0276737
4.4,-7.02239,1.56732,0.0888011,-0.0511548,0.355174,0.374881,0.269945,-7.02239,1.56732,0.0888011,-0.0511548
4.5,-7.02388,1.56397,0.343025,0.0064118,0.356622,0.379705,0.263674,-7.02388,1.56397,0.343025,0.0064118
4.6,-7.02662,1.56266,0.0642109,0.0069489,0.356196,0.379247,0.264556,-7.02662,1.56266,0.0642109,0.0069489
4.7,-7.02525,1.57299,0.259962,0.0177797,0.355739,0.381615,0.262646,-7.02525,1.57299,0.259962,0.0177797
4.8,-7.01574,1.58389,0.267495,0.0909411,0.352015,0.378702,0.269283,-7.01574,1.58389,0.267495,0.0909411
