0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
7.1,-2.94837,-0.115336,0.57968,0.106127,0.333333,0.333333,0.333333,-2.94837,-0.115336,0.57968,0.106127,-5.25649,1.46404,-0.00726503,-0.437861
7.2,-2.86421,-0.0617559,0.598363,0.249188,0.333333,0.333333,0.333333,-2.86421,-0.0617559,0.598363,0.249188,-5.22906,1.49006,-0.000166249,-0.0100317
7.3,-2.86293,-0.0129528,0.598363,0.249188,0.333333,0.333333,0.333333,-2.86293,-0.0129528,0.598363,0.249188,-5.19327,1.51988,-0.000166249,-0.0100317
7.4,-2.86293,-0.0129528,0.598363,0.249188,0.333333,0.333333,0.333333,-2.86293,-0.0129528,0.598363,0.249188,-5.19327,1.51988,-0.000166249,-0.0100317
7.5,-2.83197,0.0608206,0.598363,0.249188,0.333333,0.333333,0.333333,-2.83197,0.0608206,0.598363,0.249188,-5.11716,1.53925,-0.000166249,-0.0100317
7.6,-2.79142,0.134576,0.888478,-0.13788,0.333333,0.333333,0.333333,-2.79142,0.134576,0.888478,-0.13788,-5.01884,1.53532,-0.000166249,-0.0100317
7.7,-2.79142,0.134576,0.888478,-0.13788,0.333333,0.333333,0.333333,-2.79142,0.134576,0.888478,-0.13788,-4.96225,1.50908,-0.000166249,-0.0100317
7.79999,-2.79142,0.134576,0.888478,-0.13788,0.333333,0.333333,0.333333,-2.79142,0.134576,0.888478,-0.13788,-4.96225,1.50908,-0.000166249,-0.0100317
7.89999,-2.79142,0.134576,0.888478,-0.13788,0.333333,0.333333,0.333333,-2.79142,0.134576,0.888478,-0.13788,0,0,0,0
7.99999,-4.9064,1.47807,0.691515,-0.211903,0.332169,0.335662,0.332169,-4.9064,1.47807,0.691515,-0.211903,0,0,0,0
8.09999,-4.9064,1.47807,0.691515,-0.211903,0.330988,0.338024,0.330988,-4.9064,1.47807,0.691515,-0.211903,0,0,0,0
8.2,-4.84607,1.44575,0.691515,-0.211903,0.329854,0.340292,0.329854,-4.84607,1.44575,0.691515,-0.211903,0,0,0,0
8.3,-4.69738,1.42241,0.691515,-0.211903,0.328768,0.342465,0.328768,-4.69738,1.42241,0.691515,-0.211903,0,0,0,0
8.4,-4.69738,1.42241,0.691515,-0.211903,0.327667,0.344666,0.327667,-4.69738,1.42241,0.691515,-0.211903,0,0,0,0
8.5,-4.72078,1.38178,0.000396328,0.0238817,0.326127,0.343828,0.330045,-4.72078,1.38178,0.000396328,0.0238817,0,0,0,0
8.6,-4.75671,1.3716,0.000396328,0.0238817,0.324472,0.342926,0.332602,-4.75671,1.3716,0.000396328,0.0238817,0,0,0,0
8.7,-4.77621,1.38539,0.000396328,0.0238817,0.322653,0.341918,0.335429,-4.77621,1.38539,0.000396328,0.0238817,0,0,0,0
8.8,-4.77621,1.38539,0.000396328,0.0238817,0.320636,0.340781,0.338583,-4.77621,1.38539,0.000396328,0.0238817,0,0,0,0
8.9,-4.76397,1.40565,0.00314257,0.189414,0.312851,0.335311,0.351838,-4.76397,1.40565,0.00314257,0.189414,0,0,0,0
9,-4.73044,1.43937,0.00314257,0.189414,0.305161,0.32553,0.369309,-4.73044,1.43937,0.00314257,0.189414,0,0,0,0
9.1,-4.69763,1.50137,0.00314257,0.189414,0.295346,0.313713,0.390941,-4.69763,1.50137,0.00314257,0.189414,0,0,0,0
9.2,-4.69763,1.50137,0.00314257,0.189414,0.28319,0.299661,0.417149,-4.69763,1.50137,0.00314257,0.189414,0,0,0,0
9.3,-4.66172,1.52471,-0.00504171,-0.323733,0.286542,0.298807,0.414651,-4.66172,1.52471,-0.00504171,-0.323733,0,0,0,0
9.4,-4.59762,1.49939,-0.00504171,-0.323733,0.289872,0.297787,0.412341,-4.59762,1.49939,-0.00504171,-0.323733,0,0,0,0
9.5,-4.51068,1.40169,-0.00504171,-0.323733,0.296953,0.303876,0.399172,-4.51068,1.40169,-0.00504171,-0.323733,0,0,0,0
9.6,-4.51068,1.40169,-0.00504171,-0.323733,0.303069,0.309034,0.387897,-4.51068,1.40169,-0.00504171,-0.323733,0,0,0,0
9.7,-4.39028,1.39245,-0.00115583,-0.0696737,0.306185,0.311828,0.381987,-4.39028,1.39245,-0.00115583,-0.0696737,0,0,0,0
9.8,-4.29844,1.3832,-0.00115583,-0.0696737,0.309225,0.314478,0.376298,-4.29844,1.3832,-0.00115583,-0.0696737,0,0,0,0
9.9,-4.21366,1.37277,-0.00115583,-0.0696737,0.318567,0.321572,0.359861,-4.21366,1.37277,-0.00115583,-0.0696737,0,0,0,0
10,-4.02988,1.29105,0.00287206,0.173121,0.317813,0.320804,0.361384,-4.02988,1.29105,0.00287206,0.173121,0,0,0,0
10.1,-3.90878,1.29328,0.00287206,0.173121,0.31743,0.320557,0.362013,-3.90878,1.29328,0.00287206,0.173121,0,0,0,0
10.2,-3.80238,1.32132,0.0044766,0.26981,0.312601,0.31836,0.369038,-3.80238,1.32132,0.0044766,0.26981,0,0,0,0
10.3,-3.71575,1.35508,0.0044766,0.26981,0.294183,0.305174,0.400642,-3.71575,1.35508,0.0044766,0.26981,0,0,0,0
10.4,-3.63934,1.38958,0.000595209,0.0358668,0.28644,0.298682,0.414877,-3.63934,1.38958,0.000595209,0.0358668,0,0,0,0
10.5,-3.49694,1.38201,0.000595209,0.0358668,0.278363,0.292401,0.429236,-3.49694,1.38201,0.000595209,0.0358668,0,0,0,0
10.6,-3.37444,1.41936,0.00310041,0.186869,0.259475,0.277519,0.463005,-3.37444,1.41936,0.00310041,0.186869,0,0,0,0
10.7,-3.32703,1.43736,0.00310041,0.186869,0.244709,0.265234,0.490058,-3.32703,1.43736,0.00310041,0.186869,0,0,0,0
10.8,-3.23561,1.47058,0.00141722,0.0854047,0.236712,0.258268,0.505019,-3.23561,1.47058,0.00141722,0.0854047,0,0,0,0
10.9,-3.20401,1.49012,0.00141722,0.0854047,0.228554,0.250458,0.520988,-3.20401,1.49012,0.00141722,0.0854047,0,0,0,0
11,-3.14973,1.55912,0.00802852,0.483889,0.236873,0.25652,0.506606,-3.14973,1.55912,0.00802852,0.483889,0,0,0,0
11.1,-3.13263,1.60294,0.00802852,0.483889,0.244154,0.261245,0.494601,-3.13263,1.60294,0.00802852,0.483889,0,0,0,0
11.2,-3.11817,1.6502,0.00948818,0.571879,0.267034,0.28051,0.452457,-3.11817,1.6502,0.00948818,0.571879,0,0,0,0
11.3,-3.10606,1.73298,0.00948818,0.571879,0.285132,0.294447,0.420421,-3.10606,1.73298,0.00948818,0.571879,0,0,0,0
11.4,-3.10355,1.77161,0.00849928,0.512244,0.286201,0.294627,0.419172,-3.10355,1.77161,0.00849928,0.512244,0,0,0,0
11.5,-3.09461,1.83986,0.00849928,0.512244,0.286656,0.29407,0.419274,-3.09461,1.83986,0.00849928,0.512244,0,0,0,0
11.6,-3.09937,1.87585,0.00709902,0.427883,0.290413,0.294743,0.414844,-3.09937,1.87585,0.00709902,0.427883,0,0,0,0
11.7,-3.15225,1.96559,0.00709902,0.427883,0.293802,0.295383,0.410815,-3.15225,1.96559,0.00709902,0.427883,0,0,0,0
11.8,-3.19418,2.02691,0.0129755,0.782035,0.298854,0.299378,0.401768,-3.19418,2.02691,0.0129755,0.782035,0,0,0,0
11.9,-3.26443,2.1504,0.0129755,0.782035,0.303138,0.303138,0.393724,-3.26443,2.1504,0.0129755,0.782035,0,0,0,0
12,-3.28793,2.20044,0.00673257,0.405788,0.305065,0.305065,0.389871,-3.28793,2.20044,0.00673257,0.405788,0,0,0,0
12.1,-3.32618,2.22005,0.00673257,0.405788,0.306497,0.306497,0.387006,-3.32618,2.22005,0.00673257,0.405788,0,0,0,0
