0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
8.7,-6.62808,1.62132,0.112134,-0.0898737,0.349715,0.328685,0.3216,-6.62808,1.62132,0.112134,-0.0898737
8.8,-6.61927,1.60344,0.112134,-0.0898737,0.349854,0.328885,0.321261,-6.61927,1.60344,0.112134,-0.0898737
8.9,-6.58663,1.60553,0.153412,-0.0500664,0.350151,0.32907,0.320779,-6.58663,1.60553,0.153412,-0.0500664
9,-6.57549,1.60124,0.153412,-0.0500664,0.350477,0.329248,0.320275,-6.57549,1.60124,0.153412,-0.0500664
9.1,-6.54621,1.60227,0.178412,0.00135361,0.347473,0.343496,0.309031,-6.54621,1.60227,0.178412,0.00135361
9.2,-6.52671,1.60482,0.178412,0.00135361,0.341477,0.350315,0.308208,-6.52671,1.60482,0.178412,0.00135361
9.3,-6.50292,1.60336,0.178412,0.00135361,0.33042,0.362289,0.307291,-6.50292,1.60336,0.178412,0.00135361
9.4,-6.47419,1.60262,0.16753,-0.0735391,0.337169,0.334742,0.328089,-6.47419,1.60262,0.16753,-0.0735391
9.5,-6.46654,1.60074,0.16753,-0.0735391,0.31853,0.329599,0.351871,-6.46654,1.60074,0.16753,-0.0735391
9.6,-6.43145,1.56404,0.190723,-0.159994,0.373851,0.290344,0.335805,-6.43145,1.56404,0.190723,-0.159994
9.7,-6.40952,1.54619,0.190723,-0.159994,0.350624,0.300708,0.348668,-6.40952,1.54619,0.190723,-0.159994
9.8,-6.38727,1.52572,0.17815,-0.148265,0.321478,0.315445,0.363077,-6.38727,1.52572,0.17815,-0.148265
