0.1,1,0.5
0.2,-6.04224,1.57448,0.0599779,-0.00162902,0.32252,0.368309,0.30917,0,0,0,0,0,0,0,0
0.3,-6.04584,1.54269,0.119973,-0.00238764,0.325363,0.320961,0.353675,0,0,0,0,0,0,0,0,0,0,0,0,-5.27073,1.69503,-0,0
0.4,-6.04482,1.55637,0.131238,0.0565454,0.268516,0.465753,0.26573,0,0,0,0,0,0,0,0,0,0,0,0,-5.02079,1.3042,0.0403983,0.00933009
0.5,-6.041,1.5917,0.135523,0.104343,0.233175,0.531801,0.235025,0,0,0,0,0,0,0,0,0,0,0,0,-5.02465,1.30141,0.0403983,0.00933009
0.6,-6.03843,1.62928,0.139439,0.118854,0.218016,0.561473,0.220511,0,0,0,0,0,0,0,0,0,0,0,0,-5.01395,1.29781,0.0403983,0.00933009
0.7,-6.04015,1.62561,0.138584,0.121895,0.214586,0.566562,0.218853,0,0,0,0,0,0,0,0,0,0,0,0,-5.01154,1.29469,0.0403983,0.00933009
0.8,-6.04126,1.61816,0.139313,0.123987,0.212705,0.568196,0.219099,0,0,0,0,0,0,0,0,0,0,0,0,-5.00338,1.29382,0.0403983,0.00933009
0.9,-6.04435,1.56981,0.129083,0.119407,0.220303,0.561577,0.218121,0,0,0,0,0,0,0,0,0,0,0,0,-5.00338,1.29382,0.0403983,0.00933009
1,-6.0426,1.55278,0.122498,0.118348,0.221293,0.561155,0.217552,0,0,0,0,0,0,0,0,0,0,0,0,-5.00338,1.29382,0.0403983,0.00933009
1.1,-6.0353,1.53349,0.17194,0.0843554,0.336442,0.315307,0.348251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,-6.03574,1.52966,0.221459,0.0504744,0.325622,0.338284,0.336094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,-6.04377,1.53962,0.171035,0.0829923,0.278327,0.432519,0.289154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.00338,1.29382,0.0035363,-0.00465523
1.4,-6.04565,1.55273,0.111802,0.0925583,0.265558,0.457296,0.277146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.93306,1.58413,0.0246157,0.0044202
1.5,-6.04846,1.57292,0.0741871,0.101813,0.311013,0.370617,0.318369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.93097,1.58423,0.0395861,0.0306658
1.6,-6.04735,1.60845,0.0821261,0.04234,0.31686,0.350514,0.332626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.92549,1.57891,0.0332541,0.0878935
1.7,-6.04808,1.62132,0.108733,-0.0114379,0.307201,0.373832,0.318967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.91661,1.5859,0.0564318,0.0953129
1.8,-6.04949,1.63044,0.138881,-0.0633138,0.261589,0.467545,0.270866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.90708,1.60459,0.0945495,0.0213952
1.9,-6.04795,1.6255,0.161282,-0.00765249,0.28691,0.404877,0.308213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.90271,1.61028,0.123215,-0.055727
2,-6.05416,1.61805,0.22124,-0.00990214,0.282993,0.3987,0.318307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.89394,1.61016,0.239512,-0.17848
2.1,-6.05777,1.56477,0.2812,-0.00772391,0.250746,0.508512,0.240741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.86271,1.59487,0.641307,-0.353076
2.2,-6.05845,1.53558,0.299975,-0.00386925,0.236084,0.55044,0.213475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.83473,1.57769,0.652145,-0.368474
