0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
4.7
4.8
4.9
5
5.1
5.2
5.3
5.4
5.5
5.6
5.7
5.8
5.9
9.9,-6.64748,1.70336,0.210677,-0.0242737,0.343157,0.337826,0.319017,-6.64748,1.70336,0.210677,-0.0242737
10,-6.62467,1.69861,0.0632742,-0.0438157,0.343493,0.337797,0.318709,-6.62467,1.69861,0.0632742,-0.0438157
10.1,-6.60813,1.69808,0.0632742,-0.0438157,0.343877,0.337765,0.318358,-6.60813,1.69808,0.0632742,-0.0438157
10.2,-6.58859,1.67227,0.247494,-0.112109,0.344216,0.337704,0.31808,-6.58859,1.67227,0.247494,-0.112109
10.3,-6.57428,1.6617,0.247494,-0.112109,0.3446,0.337639,0.317761,-6.57428,1.6617,0.247494,-0.112109
10.4,-6.54704,1.64289,0.181191,-0.157042,0.344972,0.337545,0.317483,-6.54704,1.64289,0.181191,-0.157042
10.5,-6.53428,1.62992,0.181191,-0.157042,0.345358,0.337436,0.317206,-6.53428,1.62992,0.181191,-0.157042
10.6,-6.50058,1.58966,0.101702,-0.147651,0.345769,0.33733,0.316902,-6.50058,1.58966,0.101702,-0.147651
10.7,-6.48108,1.57694,0.101702,-0.147651,0.346092,0.337114,0.316794,-6.48108,1.57694,0.101702,-0.147651
10.8,-6.458,1.55237,0.0923748,-0.0746767,0.360926,0.327428,0.311646,-6.458,1.55237,0.0923748,-0.0746767
10.9,-6.43562,1.55276,0.0923748,-0.0746767,0.362359,0.324103,0.313538,-6.43562,1.55276,0.0923748,-0.0746767
11,-6.4108,1.55185,0.218539,-0.0266954,0.327958,0.351567,0.320474,-6.4108,1.55185,0.218539,-0.0266954
11.1,-6.38847,1.55416,0.218539,-0.0266954,0.31945,0.355833,0.324717,-6.38847,1.55416,0.218539,-0.0266954
11.2,-6.35588,1.54339,0.192911,-0.01162,0.297082,0.367065,0.335853,-6.35588,1.54339,0.192911,-0.01162
11.3,-6.33963,1.54414,0.192911,-0.01162,0.293577,0.36864,0.337783,-6.33963,1.54414,0.192911,-0.01162
11.4,-6.2922,1.54462,0.180384,-0.0047648,0.299795,0.364533,0.335672,-6.2922,1.54462,0.180384,-0.0047648
11.5,-6.27916,1.54828,0.180384,-0.0047648,0.304649,0.361965,0.333386,-6.27916,1.54828,0.180384,-0.0047648
11.6,-6.27412,1.5448,0.186266,-0.00292424,0.302592,0.364451,0.332957,-6.27412,1.5448,0.186266,-0.00292424
11.7,-6.23899,1.54957,0.186266,-0.00292424,0.337804,0.344977,0.317219,-6.23899,1.54957,0.186266,-0.00292424
11.8,-6.2221,1.54974,0.136896,-0.0314094,0.349272,0.334031,0.316697,-6.2221,1.54974,0.136896,-0.0314094
11.9,-6.20052,1.55326,0.136896,-0.0314094,0.318212,0.34986,0.331928,-6.20052,1.55326,0.136896,-0.0314094
12,-6.17687,1.54706,0.0650513,0.0127458,0.317627,0.367943,0.314429,-6.17687,1.54706,0.0650513,0.0127458
12.1,-6.17926,1.54379,0.0650513,0.0127458,0.31663,0.368597,0.314774,-6.17926,1.54379,0.0650513,0.0127458
12.2,-6.1819,1.54819,-0.068204,0.0165036,0.343951,0.354868,0.301181,-6.1819,1.54819,-0.068204,0.0165036
12.3,-6.19122,1.55202,-0.068204,0.0165036,0.351054,0.350885,0.29806,-6.19122,1.55202,-0.068204,0.0165036
12.4,-6.21109,1.55007,-0.16986,0.0102982,0.310305,0.371937,0.317757,-6.21109,1.55007,-0.16986,0.0102982
12.5,-6.22905,1.5525,-0.16986,0.0102982,0.309528,0.372189,0.318283,-6.22905,1.5525,-0.16986,0.0102982
12.6,-6.24195,1.55055,-0.185421,-0.00614348,0.31168,0.374334,0.313986,-6.24195,1.55055,-0.185421,-0.00614348
12.7,-6.27926,1.55382,-0.185421,-0.00614348,0.319886,0.369696,0.310418,-6.27926,1.55382,-0.185421,-0.00614348
12.8,-6.29213,1.55343,0.033248,-0.00856661,0.314015,0.376391,0.309594,-6.29213,1.55343,0.033248,-0.00856661
12.9,-6.29057,1.55038,0.033248,-0.00856661,0.314727,0.375886,0.309387,-6.29057,1.55038,0.033248,-0.00856661
13,-6.2856,1.55304,-0.031653,0.0249506,0.317881,0.366579,0.31554,-6.2856,1.55304,-0.031653,0.0249506
